Cell No.,Nucleus location (X),Nucleus location (Y),Nucleus perimeter,EOMES,POLR2A,SOX2,DLX6,SATB2,BCL11B,CPLX3,HS3ST4,CRYM,EXOC6,FOXN2,SOSTDC1,SERPINI1,SPLIT3,ZFPL1,NGEF,PALMD,TUBA4A,NR2F1,NEFL,NR4A2,CBLN2,MEF2E,PPP1R1B,RUNX1T1,LPL,GABRA5
3921,2498,21171,404.8,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3922,2176,21332,589.1,1,4,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
3923,3793,20099,417.3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3924,1844,16674,457.3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3925,1711,16686,596.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
3926,2488,20184,288.9,1,3,1,1,3,1,1,1,0,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
3927,1177,17830,470.9,0,2,6,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0
3928,4150,18585,454.9,5,5,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3929,1699,17071,416.3,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
3930,157,19887,256.9,2,3,4,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3931,4780,19088,376.3,2,1,1,3,2,0,0,1,0,1,2,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0
3932,1999,17505,557.7,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3933,1459,21576,410.4,1,3,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3934,490,21371,301.9,2,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
3935,2601,19668,480.1,3,0,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3936,4311,17395,489.3,1,4,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3937,1389,18492,417.3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3938,88,19553,433.3,1,2,1,1,7,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3939,723,19520,365.4,3,1,4,0,3,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0
3940,1970,20804,272.3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3941,919,20730,327.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3942,3894,16957,358.5,2,5,3,0,7,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3943,5199,19178,492.6,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
3944,696,18829,350.5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3945,3036,19338,469.1,0,1,0,0,4,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3946,3165,18518,512.1,2,13,10,0,12,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0
3947,1550,19289,419.0,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3948,3578,19616,334.5,3,1,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
3949,1361,19584,538.2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3950,3904,19910,472.7,0,3,6,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3951,587,18879,450.4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3952,545,18162,470.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3953,4165,21605,433.8,1,2,4,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3954,4266,20729,219.8,6,7,2,0,3,0,1,0,0,0,3,1,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0
3955,3712,18598,427.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3956,3266,19366,630.1,2,0,3,0,4,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
3957,4866,21772,527.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3958,1168,18543,326.5,0,8,7,1,16,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3959,5301,18201,531.4,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
3960,2991,17894,266.6,1,4,2,0,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3961,218,17885,412.2,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3962,978,21423,371.0,3,3,4,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3963,2309,19365,526.3,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3964,1249,17965,566.9,1,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3965,1214,18948,485.7,4,2,3,0,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3966,3942,17563,533.1,1,3,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3967,733,20893,450.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3968,3973,17445,257.5,1,11,11,2,7,1,1,0,0,2,2,0,1,2,1,0,1,0,3,1,0,0,1,0,0,1,0
3969,1157,18862,747.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3970,4888,21339,707.8,4,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3971,4966,19701,487.5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3972,1840,17576,367.1,0,7,1,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
3973,4319,16661,480.7,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3974,1028,16532,502.9,3,4,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3975,1879,20091,440.1,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3976,4844,21083,468.6,5,9,6,0,5,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3977,464,16574,366.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3978,5109,17673,582.9,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3979,650,21660,554.2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3980,3450,17157,381.4,12,9,5,0,6,0,1,0,2,0,0,1,0,1,0,0,1,0,3,1,0,0,0,0,0,1,0
3981,575,17850,471.5,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3982,1334,21145,486.3,0,4,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3983,2506,19355,500.0,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3984,1298,17751,520.7,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3985,3105,21411,394.4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3986,3391,17581,450.4,1,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
3987,615,20272,310.5,0,4,8,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3988,2063,20599,395.6,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3989,2224,16802,443.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3990,4889,19507,403.6,2,10,10,0,17,4,1,0,1,1,2,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0
3991,2659,21568,396.8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3992,3232,21357,258.0,3,1,6,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3993,5095,19418,395.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3994,4202,17984,509.1,1,6,7,0,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3995,3011,18601,533.7,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3996,4937,17721,502.9,0,2,2,0,5,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3997,2165,18610,380.8,0,0,3,0,7,1,1,0,0,0,0,0,1,3,0,0,4,0,0,1,0,0,3,0,1,1,0
3998,4121,19420,477.1,0,1,3,1,7,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3999,5334,20752,485.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,1607,20409,311.7,3,6,9,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,2738,20525,349.9,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
4002,2270,17740,335.7,7,3,3,1,9,1,1,1,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
4003,4455,20985,366.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,5335,20277,356.8,0,2,1,1,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4005,622,21323,393.3,0,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,3548,19172,381.4,0,1,7,0,6,0,2,0,1,5,0,1,1,1,0,0,1,0,2,0,1,1,0,0,0,1,0
4007,2620,19827,622.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4008,3622,17611,365.4,0,3,7,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4009,383,20043,364.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,1536,17831,420.2,0,4,0,1,12,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
4011,3016,19464,510.3,1,0,1,0,6,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4012,519,20780,518.3,4,4,7,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4013,2081,17665,303.1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4014,2926,20995,470.9,3,4,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4015,4910,20452,310.5,1,2,0,0,4,0,0,1,0,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
4016,343,21321,458.4,2,6,3,0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4017,5218,21483,448.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,3785,17398,548.6,5,6,1,0,10,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4019,455,18649,411.6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4020,1634,19229,505.6,10,8,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4021,2160,19962,493.7,0,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4022,730,19946,342.5,1,2,1,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4023,1591,17728,343.1,1,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0
4024,4614,19047,598.3,7,10,8,1,5,1,0,1,1,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0
4025,44,19994,360.9,3,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026,4994,17438,494.3,3,6,1,0,4,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4027,1367,17982,459.0,0,3,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
4028,1863,19075,507.4,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4029,5066,20438,628.6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
4030,3632,21308,371.6,1,3,1,0,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
4031,3794,18635,349.9,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
4032,779,19867,349.9,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4033,1556,20045,404.8,0,2,0,0,9,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
4034,1980,17633,358.5,0,6,2,6,7,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
4035,151,18447,532.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4036,5050,20100,585.0,0,4,3,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4037,5340,17305,728.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4038,2531,17835,518.3,7,7,5,0,10,0,0,2,0,0,1,0,0,0,0,0,2,0,1,2,0,0,1,0,0,1,0
4039,2264,17136,495.5,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4040,2172,18910,424.7,1,1,1,0,6,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
4041,1336,20944,295.7,8,5,5,0,3,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4042,2040,17271,473.3,3,5,2,0,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4043,2112,18985,442.4,0,3,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4044,4282,17856,655.3,0,2,0,0,2,0,1,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
4045,730,18704,454.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4046,5270,19974,601.0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4047,1068,20549,335.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4048,2129,20711,435.6,0,5,4,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4049,1390,18650,492.6,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
4050,747,20161,442.4,1,5,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4051,3131,21342,397.4,2,4,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4052,3343,19285,425.3,1,20,6,2,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4053,1888,17015,501.7,1,1,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4054,3024,20103,472.7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4055,2061,16542,341.9,1,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4056,2075,18567,438.9,0,3,7,0,4,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4057,1892,16557,381.4,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4058,1519,19875,425.8,0,4,2,1,11,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0
4059,1118,19192,428.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4060,1631,18235,179.8,2,2,4,0,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
4061,4534,21243,457.3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4062,4315,21298,387.0,6,3,8,0,4,0,0,0,1,1,4,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,0
4063,2858,19889,395.0,2,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4064,967,19866,319.1,1,4,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0
4065,1923,20631,379.6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4066,2680,16472,328.9,1,2,0,2,3,3,0,0,0,2,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0
4067,3417,21443,443.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4068,569,19398,395.6,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
4069,3835,20570,449.3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4070,1431,17150,385.8,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
4071,4209,19126,404.2,0,3,0,1,5,1,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4072,3315,19990,419.6,9,2,5,1,7,0,2,0,2,2,2,0,0,0,0,1,1,0,1,1,2,1,1,0,0,0,1
4073,4428,16491,348.8,0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
4074,210,19394,389.4,5,7,7,0,7,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4075,4703,18824,621.0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4076,1864,19508,341.4,1,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4077,1330,16719,317.9,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4078,4793,21197,475.0,1,2,4,0,4,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4079,4998,21622,503.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4080,1903,18615,387.6,6,16,12,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4081,4461,21062,448.7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
4082,4412,19824,510.3,3,4,2,0,6,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
4083,1582,18559,365.9,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4084,2871,19149,545.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4085,2081,21413,542.9,0,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4086,4142,18972,525.1,0,5,4,1,11,1,0,1,0,0,0,0,0,1,0,2,1,0,1,1,0,1,0,0,1,1,0
4087,2598,20804,447.5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4088,2101,17744,382.5,0,4,0,0,4,0,2,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4089,4821,19169,410.4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
4090,2586,21538,441.3,10,3,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4091,1823,19977,473.8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4092,2244,18444,534.3,2,5,4,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
4093,4576,19315,600.5,2,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4094,3747,20679,414.5,3,5,6,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4095,3334,21013,486.3,2,2,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4096,3004,18952,403.6,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,1,0,1,1,0
4097,5276,20853,513.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4098,4499,20474,395.0,2,7,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
4099,3099,20027,363.0,7,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4100,3948,20290,504.1,0,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4101,3176,19907,588.6,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
4102,4756,19395,612.4,5,4,3,0,7,0,1,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4103,964,20404,439.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104,55,21428,494.3,2,3,14,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4105,203,18712,327.1,4,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4106,1269,21475,378.4,0,3,6,3,6,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
4107,1227,19262,355.0,7,0,0,1,6,0,0,0,1,0,0,1,0,1,2,0,2,0,1,0,0,1,1,0,0,1,0
4108,3507,21581,295.7,3,9,1,0,16,1,0,0,0,0,3,0,0,1,0,0,2,0,2,0,0,0,1,0,0,1,0
4109,4693,21184,479.5,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4110,1667,18843,438.9,0,6,0,2,15,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4111,4396,21458,510.9,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4112,4589,18557,544.7,0,1,1,0,7,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
4113,413,19759,487.5,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,1261,17497,242.6,2,3,3,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4115,5007,19510,464.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4116,4141,19577,596.0,2,5,4,0,6,1,0,3,0,1,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0
4117,4240,18113,558.3,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4118,4126,21234,549.1,2,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
4119,4346,20736,393.3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4120,63,21160,546.8,1,0,2,0,3,0,0,1,1,0,1,0,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0
4121,2235,19159,479.5,0,0,0,0,5,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4122,5339,18106,456.1,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4123,4102,20669,405.4,1,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4124,5280,19450,503.5,0,2,1,0,4,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
4125,1610,20684,396.8,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4126,3788,21597,395.6,0,5,6,0,7,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
